Date,Price
2016-06-30,1375.0
2016-07-01,1394.3
2016-07-02,1394.3
2016-07-03,1394.3
2016-07-04,1352.0
2016-07-05,1414.4
2016-07-06,1422.8
2016-07-07,1415.0
2016-07-08,1412.0
2016-07-09,1412.0
2016-07-10,1412.0
2016-07-11,1411.3
2016-07-12,1390.7
2016-07-13,1399.0
2016-07-14,1387.7
2016-07-15,1383.5
2016-07-16,1383.5
2016-07-17,1383.5
2016-07-18,1385.4
2016-07-19,1392.3
2016-07-20,1379.7
2016-07-21,1392.2
2016-07-22,1385.5
2016-07-23,1385.5
2016-07-24,1385.5
2016-07-25,1381.3
2016-07-26,1382.6
2016-07-27,1392.0
2016-07-28,1398.8
2016-07-29,1415.7
2016-07-30,1415.7
2016-07-31,1415.7
2016-08-01,1416.2
2016-08-02,1429.4
2016-08-03,1423.9
2016-08-04,1427.9
2016-08-05,1407.9
2016-08-06,1407.9
2016-08-07,1407.9
2016-08-08,1405.3
2016-08-09,1410.6
2016-08-10,1415.6
2016-08-11,1414.0
2016-08-12,1406.8
2016-08-13,1406.8
2016-08-14,1406.8
2016-08-15,1410.6
2016-08-16,1419.0
2016-08-17,1410.6
2016-08-18,1419.1
2016-08-19,1408.0
2016-08-20,1408.0
2016-08-21,1408.0
2016-08-22,1405.2
2016-08-23,1407.8
2016-08-24,1390.4
2016-08-25,1384.0
2016-08-26,1383.2
2016-08-27,1383.2
2016-08-28,1383.2
2016-08-29,1384.4
2016-08-30,1374.5
2016-08-31,1367.9
2016-09-01,1372.6
2016-09-02,1385.3
2016-09-03,1385.3
2016-09-04,1385.3
2016-09-05,1331.1
2016-09-06,1411.1
2016-09-07,1407.1
2016-09-08,1400.2
2016-09-09,1393.1
2016-09-10,1393.1
2016-09-11,1393.1
2016-09-12,1384.4
2016-09-13,1380.8
2016-09-14,1383.3
2016-09-15,1374.9
2016-09-16,1367.1
2016-09-17,1367.1
2016-09-18,1367.1
2016-09-19,1374.4
2016-09-20,1374.7
2016-09-21,1388.3
2016-09-22,1399.2
2016-09-23,1396.0
2016-09-24,1396.0
2016-09-25,1396.0
2016-09-26,1398.6
2016-09-27,1384.4
2016-09-28,1376.7
2016-09-29,1379.1
2016-09-30,1370.4
2016-10-01,1370.4
2016-10-02,1370.4
2016-10-03,1365.9
2016-10-04,1322.1
2016-10-05,1321.3
2016-10-06,1305.5
2016-10-07,1304.5
2016-10-08,1304.5
2016-10-09,1304.5
2016-10-10,1313.9
2016-10-11,1309.5
2016-10-12,1307.7
2016-10-13,1312.3
2016-10-14,1310.4
2016-10-15,1310.4
2016-10-16,1310.4
2016-10-17,1311.8
2016-10-18,1318.6
2016-10-19,1325.2
2016-10-20,1323.5
2016-10-21,1323.0
2016-10-22,1323.0
2016-10-23,1323.0
2016-10-24,1317.2
2016-10-25,1331.6
2016-10-26,1324.6
2016-10-27,1330.0
2016-10-28,1337.1
2016-10-29,1337.1
2016-10-30,1337.1
2016-10-31,1333.7
2016-11-01,1348.0
2016-11-02,1368.0
2016-11-03,1363.8
2016-11-04,1365.7
2016-11-05,1365.7
2016-11-06,1365.7
2016-11-07,1340.4
2016-11-08,1336.2
2016-11-09,1335.7
2016-11-10,1326.6
2016-11-11,1282.7
2016-11-12,1282.7
2016-11-13,1282.7
2016-11-14,1286.9
2016-11-15,1290.9
2016-11-16,1290.3
2016-11-17,1283.8
2016-11-18,1276.4
2016-11-19,1276.4
2016-11-20,1276.4
2016-11-21,1276.8
2016-11-22,1278.0
2016-11-23,1256.9
2016-11-24,1185.55
2016-11-25,1245.5
2016-11-26,1245.5
2016-11-27,1245.5
2016-11-28,1258.6
2016-11-29,1255.5
2016-11-30,1238.4
2016-12-01,1233.7
2016-12-02,1242.4
2016-12-03,1242.4
2016-12-04,1242.4
2016-12-05,1241.7
2016-12-06,1235.0
2016-12-07,1250.6
2016-12-08,1246.4
2016-12-09,1236.0
2016-12-10,1236.0
2016-12-11,1236.0
2016-12-12,1240.3
2016-12-13,1233.6
2016-12-14,1238.3
2016-12-15,1213.1
2016-12-16,1220.9
2016-12-17,1220.9
2016-12-18,1220.9
2016-12-19,1225.9
2016-12-20,1217.0
2016-12-21,1216.5
2016-12-22,1213.8
2016-12-23,1216.8
2016-12-24,1216.8
2016-12-25,1216.8
2016-12-26,1134.55
2016-12-27,1221.9
2016-12-28,1224.0
2016-12-29,1241.2
2016-12-30,1234.5
2016-12-31,1234.5
2017-01-01,1234.5
2017-01-02,1151.05
2017-01-03,1244.7
2017-01-04,1247.1
2017-01-05,1262.1
2017-01-06,1255.7
2017-01-07,1255.7
2017-01-08,1255.7
2017-01-09,1267.6
2017-01-10,1268.5
2017-01-11,1280.0
2017-01-12,1283.3
2017-01-13,1281.3
2017-01-14,1281.3
2017-01-15,1281.3
2017-01-16,1202.85
2017-01-17,1297.4
2017-01-18,1295.7
2017-01-19,1285.5
2017-01-20,1289.2
2017-01-21,1289.2
2017-01-22,1289.2
2017-01-23,1298.9
2017-01-24,1294.1
2017-01-25,1281.1
2017-01-26,1272.9
2017-01-27,1271.7
2017-01-28,1271.7
2017-01-29,1271.7
2017-01-30,1276.4
2017-01-31,1291.8
2017-02-01,1289.5
2017-02-02,1300.6
2017-02-03,1302.2
2017-02-04,1302.2
2017-02-05,1302.2
2017-02-06,1313.3
2017-02-07,1316.4
2017-02-08,1318.3
2017-02-09,1315.4
2017-02-10,1314.5
2017-02-11,1314.5
2017-02-12,1314.5
2017-02-13,1304.9
2017-02-14,1304.9
2017-02-15,1314.2
2017-02-16,1322.7
2017-02-17,1319.4
2017-02-18,1319.4
2017-02-19,1319.4
2017-02-20,1238.2
2017-02-21,1319.2
2017-02-22,1313.3
2017-02-23,1331.7
2017-02-24,1338.4
2017-02-25,1338.4
2017-02-26,1338.4
2017-02-27,1339.1
2017-02-28,1334.3
2017-03-01,1331.1
2017-03-02,1313.9
2017-03-03,1308.8
2017-03-04,1308.8
2017-03-05,1308.8
2017-03-06,1307.3
2017-03-07,1297.7
2017-03-08,1291.9
2017-03-09,1285.7
2017-03-10,1284.0
2017-03-11,1284.0
2017-03-12,1284.0
2017-03-13,1286.6
2017-03-14,1286.3
2017-03-15,1284.3
2017-03-16,1310.7
2017-03-17,1313.6
2017-03-18,1313.6
2017-03-19,1313.6
2017-03-20,1317.2
2017-03-21,1329.0
2017-03-22,1331.5
2017-03-23,1328.5
2017-03-24,1330.4
2017-03-25,1330.4
2017-03-26,1330.4
2017-03-27,1337.4
2017-03-28,1337.5
2017-03-29,1335.5
2017-03-30,1326.7
2017-03-31,1329.8
2017-04-01,1329.8
2017-04-02,1329.8
2017-04-03,1332.7
2017-04-04,1336.8
2017-04-05,1327.5
2017-04-06,1332.4
2017-04-07,1336.8
2017-04-08,1336.8
2017-04-09,1336.8
2017-04-10,1333.3
2017-04-11,1353.4
2017-04-12,1357.3
2017-04-13,1366.7
2017-04-14,1289.65
2017-04-15,1289.65
2017-04-16,1289.65
2017-04-17,1369.8
2017-04-18,1370.9
2017-04-19,1360.5
2017-04-20,1361.7
2017-04-21,1367.0
2017-04-22,1367.0
2017-04-23,1367.0
2017-04-24,1355.8
2017-04-25,1346.0
2017-04-26,1343.0
2017-04-27,1344.7
2017-04-28,1347.1
2017-04-29,1347.1
2017-04-30,1347.1
2017-05-01,1334.6
2017-05-02,1336.1
2017-05-03,1327.6
2017-05-04,1307.4
2017-05-05,1305.8
2017-05-06,1305.8
2017-05-07,1305.8
2017-05-08,1306.1
2017-05-09,1295.1
2017-05-10,1297.6
2017-05-11,1302.9
2017-05-12,1305.7
2017-05-13,1305.7
2017-05-14,1305.7
2017-05-15,1308.0
2017-05-16,1314.4
2017-05-17,1336.2
2017-05-18,1329.2
2017-05-19,1329.9
