,Ngày,Lần,cuối,Mở,Cao,Thấp,KL,%,Thay,đổi
0,Ngày,Lần,cuối,Mở,Cao,Thấp,KL,%,Thay,đổi
1,30/06/2021,"1,771.60","1,761.90","1,774.70","1,753.20",177.89K,0.45%,,,
2,29/06/2021,"1,763.60","1,778.80","1,779.20","1,750.10",239.91K,-0.96%,,,
3,28/06/2021,"1,780.70","1,782.00","1,786.10","1,770.40",160.79K,0.16%,,,
4,25/06/2021,"1,777.80","1,775.70","1,791.00","1,773.60",161.20K,0.06%,,,
5,24/06/2021,"1,776.70","1,778.20","1,788.60","1,772.70",152.23K,-0.38%,,,
6,23/06/2021,"1,783.40","1,779.10","1,795.60","1,773.10",179.27K,0.34%,,,
7,22/06/2021,"1,777.40","1,783.20","1,790.10","1,771.20",172.75K,-0.31%,,,
8,21/06/2021,"1,782.90","1,764.30","1,786.90","1,764.10",195.52K,0.79%,,,
9,18/06/2021,"1,769.00","1,773.90","1,797.90","1,761.20",264.61K,-0.33%,,,
10,17/06/2021,"1,774.80","1,812.30","1,826.40","1,767.90",385.89K,-4.65%,,,
11,16/06/2021,"1,861.40","1,861.00","1,866.00","1,804.40",234.10K,0.27%,,,
12,15/06/2021,"1,856.40","1,867.80","1,870.90","1,853.00",155.34K,-0.51%,,,
13,14/06/2021,"1,865.90","1,879.60","1,879.70","1,845.70",242.30K,-0.73%,,,
14,11/06/2021,"1,879.60","1,901.90","1,906.20","1,876.10",220.46K,-0.89%,,,
15,10/06/2021,"1,896.40","1,891.40","1,903.00","1,871.80",250.55K,0.05%,,,
16,09/06/2021,"1,895.50","1,894.40","1,901.70","1,889.30",147.33K,0.06%,,,
17,08/06/2021,"1,894.40","1,901.60","1,906.90","1,885.70",173.60K,-0.23%,,,
18,07/06/2021,"1,898.80","1,894.30","1,902.90","1,883.70",146.02K,0.36%,,,
19,04/06/2021,"1,892.00","1,872.70","1,899.00","1,855.60",228.83K,1.00%,,,
20,03/06/2021,"1,873.30","1,910.50","1,912.30","1,866.70",278.58K,-1.92%,,,
21,02/06/2021,"1,909.90","1,903.00","1,911.80","1,896.40",166.04K,0.26%,,,
22,01/06/2021,"1,905.00","1,906.80","1,919.20","1,894.50",290.65K,-0.32%,,,
23,31/05/2021,"1,911.15","1,906.80","1,913.40","1,904.85",-,0.23%,,,
24,30/05/2021,"1,906.75","1,907.60","1,907.90","1,906.10",-,0.08%,,,
25,28/05/2021,"1,905.30","1,899.80","1,908.80","1,884.30",198.14K,0.36%,,,
26,27/05/2021,"1,898.50","1,899.30","1,906.50","1,890.80",211.79K,-0.28%,,,
27,26/05/2021,"1,903.80","1,902.40","1,915.60","1,893.00",178.18K,0.17%,,,
28,25/05/2021,"1,900.50","1,883.40","1,903.70","1,875.40",176.60K,0.73%,,,
29,24/05/2021,"1,886.70","1,885.60","1,890.00","1,877.90",55.84K,0.42%,,,
30,21/05/2021,"1,878.90","1,880.40","1,892.30","1,872.50",53.04K,-0.27%,,,
31,20/05/2021,"1,883.90","1,872.20","1,887.20","1,866.20",44.91K,0.03%,,,
32,19/05/2021,"1,883.40","1,872.20","1,893.20","1,854.40",58.81K,0.71%,,,
33,18/05/2021,"1,870.10","1,869.10","1,877.80","1,865.60",49.55K,0.03%,,,
34,17/05/2021,"1,869.60","1,843.50","1,871.10","1,843.10",42.11K,1.61%,,,
35,14/05/2021,"1,840.00","1,829.30","1,849.00","1,821.30",24.14K,0.76%,,,
36,13/05/2021,"1,826.10","1,816.60","1,830.90","1,810.70",41.80K,0.07%,,,
37,12/05/2021,"1,824.80","1,840.20","1,846.50","1,815.00",55.16K,-0.72%,,,
38,11/05/2021,"1,838.10","1,837.60","1,844.30","1,819.80",71.63K,-0.09%,,,
39,10/05/2021,"1,839.80","1,836.10","1,848.40","1,832.80",64.97K,0.34%,,,
40,07/05/2021,"1,833.50","1,817.30","1,846.50","1,815.70",26.44K,0.86%,,,
41,06/05/2021,"1,817.90","1,789.00","1,820.50","1,784.10",23.09K,1.76%,,,
42,05/05/2021,"1,786.50","1,780.90","1,790.20","1,771.50",20.46K,0.47%,,,
43,04/05/2021,"1,778.20","1,795.10","1,801.60","1,771.60",9.94K,-0.88%,,,
44,03/05/2021,"1,794.00","1,770.40","1,800.80","1,768.50",7.92K,1.37%,,,
45,30/04/2021,"1,769.80","1,773.90","1,775.00","1,765.60",17.31K,-0.04%,,,
